Country,Population,PopulationDensity,MedianAge,Day,NumberOfNewCases
USA,331002647,35.608,38.3,1,0
USA,331002647,35.608,38.3,2,0
USA,331002647,35.608,38.3,3,0
USA,331002647,35.608,38.3,4,0
USA,331002647,35.608,38.3,5,0
USA,331002647,35.608,38.3,6,0
USA,331002647,35.608,38.3,7,0
USA,331002647,35.608,38.3,8,0
USA,331002647,35.608,38.3,9,0
USA,331002647,35.608,38.3,10,0
USA,331002647,35.608,38.3,11,0
USA,331002647,35.608,38.3,12,0
USA,331002647,35.608,38.3,13,0
USA,331002647,35.608,38.3,14,0
USA,331002647,35.608,38.3,15,0
USA,331002647,35.608,38.3,16,0
USA,331002647,35.608,38.3,17,0
USA,331002647,35.608,38.3,18,0
USA,331002647,35.608,38.3,19,0
USA,331002647,35.608,38.3,20,0
USA,331002647,35.608,38.3,21,0
USA,331002647,35.608,38.3,22,1
USA,331002647,35.608,38.3,23,0
USA,331002647,35.608,38.3,24,0
USA,331002647,35.608,38.3,25,0
USA,331002647,35.608,38.3,26,1
USA,331002647,35.608,38.3,27,0
USA,331002647,35.608,38.3,28,3
USA,331002647,35.608,38.3,29,0
USA,331002647,35.608,38.3,30,0
USA,331002647,35.608,38.3,31,0
USA,331002647,35.608,38.3,32,1
USA,331002647,35.608,38.3,33,1
USA,331002647,35.608,38.3,34,1
USA,331002647,35.608,38.3,35,3
USA,331002647,35.608,38.3,36,0
USA,331002647,35.608,38.3,37,0
USA,331002647,35.608,38.3,38,1
USA,331002647,35.608,38.3,39,0
USA,331002647,35.608,38.3,40,0
USA,331002647,35.608,38.3,41,0
USA,331002647,35.608,38.3,42,0
USA,331002647,35.608,38.3,43,1
USA,331002647,35.608,38.3,44,0
USA,331002647,35.608,38.3,45,1
USA,331002647,35.608,38.3,46,1
USA,331002647,35.608,38.3,47,0
USA,331002647,35.608,38.3,48,0
USA,331002647,35.608,38.3,49,0
USA,331002647,35.608,38.3,50,0
USA,331002647,35.608,38.3,51,0
USA,331002647,35.608,38.3,52,0
USA,331002647,35.608,38.3,53,1
USA,331002647,35.608,38.3,54,19
USA,331002647,35.608,38.3,55,0
USA,331002647,35.608,38.3,56,0
USA,331002647,35.608,38.3,57,18
USA,331002647,35.608,38.3,58,0
USA,331002647,35.608,38.3,59,6
USA,331002647,35.608,38.3,60,1
USA,331002647,35.608,38.3,61,6
USA,331002647,35.608,38.3,62,3
USA,331002647,35.608,38.3,63,20
USA,331002647,35.608,38.3,64,14
USA,331002647,35.608,38.3,65,22
USA,331002647,35.608,38.3,66,34
USA,331002647,35.608,38.3,67,74
USA,331002647,35.608,38.3,68,105
USA,331002647,35.608,38.3,69,95
USA,331002647,35.608,38.3,70,121
USA,331002647,35.608,38.3,71,200
USA,331002647,35.608,38.3,72,271
USA,331002647,35.608,38.3,73,287
USA,331002647,35.608,38.3,74,351
USA,331002647,35.608,38.3,75,511
USA,331002647,35.608,38.3,76,777
USA,331002647,35.608,38.3,77,823
USA,331002647,35.608,38.3,78,887
USA,331002647,35.608,38.3,79,1766
USA,331002647,35.608,38.3,80,2988
USA,331002647,35.608,38.3,81,4835
USA,331002647,35.608,38.3,82,5374
USA,331002647,35.608,38.3,83,7123
USA,331002647,35.608,38.3,84,8459
USA,331002647,35.608,38.3,85,11236
USA,331002647,35.608,38.3,86,8789
USA,331002647,35.608,38.3,87,13963
USA,331002647,35.608,38.3,88,16797
USA,331002647,35.608,38.3,89,18695
USA,331002647,35.608,38.3,90,19979
USA,331002647,35.608,38.3,91,18360
USA,331002647,35.608,38.3,92,21595
USA,331002647,35.608,38.3,93,24998
USA,331002647,35.608,38.3,94,27103
USA,331002647,35.608,38.3,95,28819
USA,331002647,35.608,38.3,96,32425
USA,331002647,35.608,38.3,97,34272
USA,331002647,35.608,38.3,98,25398
USA,331002647,35.608,38.3,99,30561
USA,331002647,35.608,38.3,100,30613
USA,331002647,35.608,38.3,101,33323
USA,331002647,35.608,38.3,102,33901
USA,331002647,35.608,38.3,103,35527
USA,331002647,35.608,38.3,104,28391
USA,331002647,35.608,38.3,105,27620
USA,331002647,35.608,38.3,106,25023
USA,331002647,35.608,38.3,107,26922
USA,331002647,35.608,38.3,108,30148
USA,331002647,35.608,38.3,109,31667
USA,331002647,35.608,38.3,110,30833
USA,331002647,35.608,38.3,111,32922
USA,331002647,35.608,38.3,112,24601
USA,331002647,35.608,38.3,113,28065
USA,331002647,35.608,38.3,114,37289
USA,331002647,35.608,38.3,115,17588
USA,331002647,35.608,38.3,116,26543
USA,331002647,35.608,38.3,117,21352
USA,331002647,35.608,38.3,118,48529
USA,331002647,35.608,38.3,119,26857
USA,331002647,35.608,38.3,120,22541
USA,331002647,35.608,38.3,121,24132
USA,331002647,35.608,38.3,122,27326
USA,331002647,35.608,38.3,123,29917
USA,331002647,35.608,38.3,124,33955
USA,331002647,35.608,38.3,125,29288
USA,331002647,35.608,38.3,126,24972
USA,331002647,35.608,38.3,127,22593
USA,331002647,35.608,38.3,128,23841
USA,331002647,35.608,38.3,129,24128
USA,331002647,35.608,38.3,130,28369
USA,331002647,35.608,38.3,131,26957
USA,331002647,35.608,38.3,132,25612
USA,331002647,35.608,38.3,133,20258
USA,331002647,35.608,38.3,134,18117
USA,331002647,35.608,38.3,135,22048
USA,331002647,35.608,38.3,136,20782
USA,331002647,35.608,38.3,137,27143
USA,331002647,35.608,38.3,138,25508
USA,331002647,35.608,38.3,139,24487
USA,331002647,35.608,38.3,140,18873
USA,331002647,35.608,38.3,141,21841
USA,331002647,35.608,38.3,142,19970
USA,331002647,35.608,38.3,143,23285
USA,331002647,35.608,38.3,144,25434
USA,331002647,35.608,38.3,145,24147
USA,331002647,35.608,38.3,146,21236
USA,331002647,35.608,38.3,147,20568
USA,331002647,35.608,38.3,148,19064
USA,331002647,35.608,38.3,149,18910
USA,331002647,35.608,38.3,150,18721
USA,331002647,35.608,38.3,151,21817
USA,331002647,35.608,38.3,152,25337
USA,331002647,35.608,38.3,153,23297
USA,331002647,35.608,38.3,154,19807
USA,331002647,35.608,38.3,155,21086
USA,331002647,35.608,38.3,156,20544
USA,331002647,35.608,38.3,157,19699
USA,331002647,35.608,38.3,158,21140
USA,331002647,35.608,38.3,159,25178
USA,331002647,35.608,38.3,160,22223
USA,331002647,35.608,38.3,161,22302
Italy,60461828,205.859,47.9,1,0
Italy,60461828,205.859,47.9,2,0
Italy,60461828,205.859,47.9,3,0
Italy,60461828,205.859,47.9,4,0
Italy,60461828,205.859,47.9,5,0
Italy,60461828,205.859,47.9,6,0
Italy,60461828,205.859,47.9,7,0
Italy,60461828,205.859,47.9,8,0
Italy,60461828,205.859,47.9,9,0
Italy,60461828,205.859,47.9,10,0
Italy,60461828,205.859,47.9,11,0
Italy,60461828,205.859,47.9,12,0
Italy,60461828,205.859,47.9,13,0
Italy,60461828,205.859,47.9,14,0
Italy,60461828,205.859,47.9,15,0
Italy,60461828,205.859,47.9,16,0
Italy,60461828,205.859,47.9,17,0
Italy,60461828,205.859,47.9,18,0
Italy,60461828,205.859,47.9,19,0
Italy,60461828,205.859,47.9,20,0
Italy,60461828,205.859,47.9,21,0
Italy,60461828,205.859,47.9,22,0
Italy,60461828,205.859,47.9,23,0
Italy,60461828,205.859,47.9,24,0
Italy,60461828,205.859,47.9,25,0
Italy,60461828,205.859,47.9,26,0
Italy,60461828,205.859,47.9,27,0
Italy,60461828,205.859,47.9,28,0
Italy,60461828,205.859,47.9,29,0
Italy,60461828,205.859,47.9,30,0
Italy,60461828,205.859,47.9,31,0
Italy,60461828,205.859,47.9,32,3
Italy,60461828,205.859,47.9,33,0
Italy,60461828,205.859,47.9,34,0
Italy,60461828,205.859,47.9,35,0
Italy,60461828,205.859,47.9,36,0
Italy,60461828,205.859,47.9,37,0
Italy,60461828,205.859,47.9,38,0
Italy,60461828,205.859,47.9,39,0
Italy,60461828,205.859,47.9,40,0
Italy,60461828,205.859,47.9,41,0
Italy,60461828,205.859,47.9,42,0
Italy,60461828,205.859,47.9,43,0
Italy,60461828,205.859,47.9,44,0
Italy,60461828,205.859,47.9,45,0
Italy,60461828,205.859,47.9,46,0
Italy,60461828,205.859,47.9,47,0
Italy,60461828,205.859,47.9,48,0
Italy,60461828,205.859,47.9,49,0
Italy,60461828,205.859,47.9,50,0
Italy,60461828,205.859,47.9,51,0
Italy,60461828,205.859,47.9,52,0
Italy,60461828,205.859,47.9,53,0
Italy,60461828,205.859,47.9,54,14
Italy,60461828,205.859,47.9,55,62
Italy,60461828,205.859,47.9,56,53
Italy,60461828,205.859,47.9,57,97
Italy,60461828,205.859,47.9,58,93
Italy,60461828,205.859,47.9,59,78
Italy,60461828,205.859,47.9,60,250
Italy,60461828,205.859,47.9,61,238
Italy,60461828,205.859,47.9,62,240
Italy,60461828,205.859,47.9,63,561
Italy,60461828,205.859,47.9,64,347
Italy,60461828,205.859,47.9,65,466
Italy,60461828,205.859,47.9,66,587
Italy,60461828,205.859,47.9,67,769
Italy,60461828,205.859,47.9,68,778
Italy,60461828,205.859,47.9,69,1247
Italy,60461828,205.859,47.9,70,1492
Italy,60461828,205.859,47.9,71,1797
Italy,60461828,205.859,47.9,72,977
Italy,60461828,205.859,47.9,73,2313
Italy,60461828,205.859,47.9,74,2651
Italy,60461828,205.859,47.9,75,2547
Italy,60461828,205.859,47.9,76,3497
Italy,60461828,205.859,47.9,77,2823
Italy,60461828,205.859,47.9,78,4000
Italy,60461828,205.859,47.9,79,3526
Italy,60461828,205.859,47.9,80,4207
Italy,60461828,205.859,47.9,81,5322
Italy,60461828,205.859,47.9,82,5986
Italy,60461828,205.859,47.9,83,6557
Italy,60461828,205.859,47.9,84,5560
Italy,60461828,205.859,47.9,85,4789
Italy,60461828,205.859,47.9,86,5249
Italy,60461828,205.859,47.9,87,5210
Italy,60461828,205.859,47.9,88,6153
Italy,60461828,205.859,47.9,89,5959
Italy,60461828,205.859,47.9,90,5974
Italy,60461828,205.859,47.9,91,5217
Italy,60461828,205.859,47.9,92,4050
Italy,60461828,205.859,47.9,93,4053
Italy,60461828,205.859,47.9,94,4782
Italy,60461828,205.859,47.9,95,4668
Italy,60461828,205.859,47.9,96,4585
Italy,60461828,205.859,47.9,97,4805
Italy,60461828,205.859,47.9,98,4316
Italy,60461828,205.859,47.9,99,3599
Italy,60461828,205.859,47.9,100,3039
Italy,60461828,205.859,47.9,101,3836
Italy,60461828,205.859,47.9,102,4204
Italy,60461828,205.859,47.9,103,3951
Italy,60461828,205.859,47.9,104,4694
Italy,60461828,205.859,47.9,105,4092
Italy,60461828,205.859,47.9,106,3153
Italy,60461828,205.859,47.9,107,2972
Italy,60461828,205.859,47.9,108,2667
Italy,60461828,205.859,47.9,109,3786
Italy,60461828,205.859,47.9,110,3493
Italy,60461828,205.859,47.9,111,3491
Italy,60461828,205.859,47.9,112,3047
Italy,60461828,205.859,47.9,113,2256
Italy,60461828,205.859,47.9,114,2729
Italy,60461828,205.859,47.9,115,3370
Italy,60461828,205.859,47.9,116,2646
Italy,60461828,205.859,47.9,117,3021
Italy,60461828,205.859,47.9,118,2357
Italy,60461828,205.859,47.9,119,2324
Italy,60461828,205.859,47.9,120,1739
Italy,60461828,205.859,47.9,121,2091
Italy,60461828,205.859,47.9,122,2086
Italy,60461828,205.859,47.9,123,1872
Italy,60461828,205.859,47.9,124,1965
Italy,60461828,205.859,47.9,125,1900
Italy,60461828,205.859,47.9,126,1389
Italy,60461828,205.859,47.9,127,1221
Italy,60461828,205.859,47.9,128,1075
Italy,60461828,205.859,47.9,129,1444
Italy,60461828,205.859,47.9,130,1401
Italy,60461828,205.859,47.9,131,1327
Italy,60461828,205.859,47.9,132,1083
Italy,60461828,205.859,47.9,133,802
Italy,60461828,205.859,47.9,134,744
Italy,60461828,205.859,47.9,135,1402
Italy,60461828,205.859,47.9,136,888
Italy,60461828,205.859,47.9,137,992
Italy,60461828,205.859,47.9,138,789
Italy,60461828,205.859,47.9,139,875
Italy,60461828,205.859,47.9,140,675
Italy,60461828,205.859,47.9,141,451
Italy,60461828,205.859,47.9,142,813
Italy,60461828,205.859,47.9,143,665
Italy,60461828,205.859,47.9,144,642
Italy,60461828,205.859,47.9,145,652
Italy,60461828,205.859,47.9,146,669
Italy,60461828,205.859,47.9,147,531
Italy,60461828,205.859,47.9,148,300
Italy,60461828,205.859,47.9,149,397
Italy,60461828,205.859,47.9,150,584
Italy,60461828,205.859,47.9,151,593
Italy,60461828,205.859,47.9,152,516
Italy,60461828,205.859,47.9,153,416
Italy,60461828,205.859,47.9,154,355
Italy,60461828,205.859,47.9,155,178
Italy,60461828,205.859,47.9,156,318
Italy,60461828,205.859,47.9,157,321
Italy,60461828,205.859,47.9,158,177
Italy,60461828,205.859,47.9,159,518
Italy,60461828,205.859,47.9,160,270
Italy,60461828,205.859,47.9,161,197
India,1380004385,450.419,28.2,1,0
India,1380004385,450.419,28.2,2,0
India,1380004385,450.419,28.2,3,0
India,1380004385,450.419,28.2,4,0
India,1380004385,450.419,28.2,5,0
India,1380004385,450.419,28.2,6,0
India,1380004385,450.419,28.2,7,0
India,1380004385,450.419,28.2,8,0
India,1380004385,450.419,28.2,9,0
India,1380004385,450.419,28.2,10,0
India,1380004385,450.419,28.2,11,0
India,1380004385,450.419,28.2,12,0
India,1380004385,450.419,28.2,13,0
India,1380004385,450.419,28.2,14,0
India,1380004385,450.419,28.2,15,0
India,1380004385,450.419,28.2,16,0
India,1380004385,450.419,28.2,17,0
India,1380004385,450.419,28.2,18,0
India,1380004385,450.419,28.2,19,0
India,1380004385,450.419,28.2,20,0
India,1380004385,450.419,28.2,21,0
India,1380004385,450.419,28.2,22,0
India,1380004385,450.419,28.2,23,0
India,1380004385,450.419,28.2,24,0
India,1380004385,450.419,28.2,25,0
India,1380004385,450.419,28.2,26,0
India,1380004385,450.419,28.2,27,0
India,1380004385,450.419,28.2,28,0
India,1380004385,450.419,28.2,29,0
India,1380004385,450.419,28.2,30,0
India,1380004385,450.419,28.2,31,1
India,1380004385,450.419,28.2,32,0
India,1380004385,450.419,28.2,33,0
India,1380004385,450.419,28.2,34,1
India,1380004385,450.419,28.2,35,0
India,1380004385,450.419,28.2,36,1
India,1380004385,450.419,28.2,37,0
India,1380004385,450.419,28.2,38,0
India,1380004385,450.419,28.2,39,0
India,1380004385,450.419,28.2,40,0
India,1380004385,450.419,28.2,41,0
India,1380004385,450.419,28.2,42,0
India,1380004385,450.419,28.2,43,0
India,1380004385,450.419,28.2,44,0
India,1380004385,450.419,28.2,45,0
India,1380004385,450.419,28.2,46,0
India,1380004385,450.419,28.2,47,0
India,1380004385,450.419,28.2,48,0
India,1380004385,450.419,28.2,49,0
India,1380004385,450.419,28.2,50,0
India,1380004385,450.419,28.2,51,0
India,1380004385,450.419,28.2,52,0
India,1380004385,450.419,28.2,53,0
India,1380004385,450.419,28.2,54,0
India,1380004385,450.419,28.2,55,0
India,1380004385,450.419,28.2,56,0
India,1380004385,450.419,28.2,57,0
India,1380004385,450.419,28.2,58,0
India,1380004385,450.419,28.2,59,0
India,1380004385,450.419,28.2,60,0
India,1380004385,450.419,28.2,61,0
India,1380004385,450.419,28.2,62,0
India,1380004385,450.419,28.2,63,0
India,1380004385,450.419,28.2,64,2
India,1380004385,450.419,28.2,65,1
India,1380004385,450.419,28.2,66,22
India,1380004385,450.419,28.2,67,1
India,1380004385,450.419,28.2,68,2
India,1380004385,450.419,28.2,69,3
India,1380004385,450.419,28.2,70,10
India,1380004385,450.419,28.2,71,6
India,1380004385,450.419,28.2,72,23
India,1380004385,450.419,28.2,73,2
India,1380004385,450.419,28.2,74,8
India,1380004385,450.419,28.2,75,7
India,1380004385,450.419,28.2,76,3
India,1380004385,450.419,28.2,77,32
India,1380004385,450.419,28.2,78,12
India,1380004385,450.419,28.2,79,28
India,1380004385,450.419,28.2,80,26
India,1380004385,450.419,28.2,81,40
India,1380004385,450.419,28.2,82,89
India,1380004385,450.419,28.2,83,119
India,1380004385,450.419,28.2,84,53
India,1380004385,450.419,28.2,85,70
India,1380004385,450.419,28.2,86,87
India,1380004385,450.419,28.2,87,75
India,1380004385,450.419,28.2,88,149
India,1380004385,450.419,28.2,89,106
India,1380004385,450.419,28.2,90,92
India,1380004385,450.419,28.2,91,180
India,1380004385,450.419,28.2,92,146
India,1380004385,450.419,28.2,93,568
India,1380004385,450.419,28.2,94,336
India,1380004385,450.419,28.2,95,601
India,1380004385,450.419,28.2,96,472
India,1380004385,450.419,28.2,97,693
India,1380004385,450.419,28.2,98,354
India,1380004385,450.419,28.2,99,773
India,1380004385,450.419,28.2,100,540
India,1380004385,450.419,28.2,101,678
India,1380004385,450.419,28.2,102,1035
India,1380004385,450.419,28.2,103,909
India,1380004385,450.419,28.2,104,796
India,1380004385,450.419,28.2,105,1211
India,1380004385,450.419,28.2,106,1075
India,1380004385,450.419,28.2,107,942
India,1380004385,450.419,28.2,108,1007
India,1380004385,450.419,28.2,109,991
India,1380004385,450.419,28.2,110,1334
India,1380004385,450.419,28.2,111,1553
India,1380004385,450.419,28.2,112,1335
India,1380004385,450.419,28.2,113,1384
India,1380004385,450.419,28.2,114,1409
India,1380004385,450.419,28.2,115,1684
India,1380004385,450.419,28.2,116,1429
India,1380004385,450.419,28.2,117,1990
India,1380004385,450.419,28.2,118,1396
India,1380004385,450.419,28.2,119,1543
India,1380004385,450.419,28.2,120,1897
India,1380004385,450.419,28.2,121,1718
India,1380004385,450.419,28.2,122,1993
India,1380004385,450.419,28.2,123,2293
India,1380004385,450.419,28.2,124,2644
India,1380004385,450.419,28.2,125,2553
India,1380004385,450.419,28.2,126,3900
India,1380004385,450.419,28.2,127,2958
India,1380004385,450.419,28.2,128,3561
India,1380004385,450.419,28.2,129,3390
India,1380004385,450.419,28.2,130,3320
India,1380004385,450.419,28.2,131,3277
India,1380004385,450.419,28.2,132,4213
India,1380004385,450.419,28.2,133,3604
India,1380004385,450.419,28.2,134,3525
India,1380004385,450.419,28.2,135,3722
India,1380004385,450.419,28.2,136,3967
India,1380004385,450.419,28.2,137,3970
India,1380004385,450.419,28.2,138,4987
India,1380004385,450.419,28.2,139,5242
India,1380004385,450.419,28.2,140,4970
India,1380004385,450.419,28.2,141,5611
India,1380004385,450.419,28.2,142,5609
India,1380004385,450.419,28.2,143,6088
India,1380004385,450.419,28.2,144,6654
India,1380004385,450.419,28.2,145,6767
India,1380004385,450.419,28.2,146,6977
India,1380004385,450.419,28.2,147,6535
India,1380004385,450.419,28.2,148,6387
India,1380004385,450.419,28.2,149,6566
India,1380004385,450.419,28.2,150,7466
India,1380004385,450.419,28.2,151,7964
India,1380004385,450.419,28.2,152,8380
India,1380004385,450.419,28.2,153,8392
India,1380004385,450.419,28.2,154,8171
India,1380004385,450.419,28.2,155,8909
India,1380004385,450.419,28.2,156,9304
India,1380004385,450.419,28.2,157,9851
India,1380004385,450.419,28.2,158,9887
India,1380004385,450.419,28.2,159,9971
India,1380004385,450.419,28.2,160,9983
